Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Admission grade,Previous qualification (grade),Scholarship holder,Tuition fees up to date,Debtor,Age at enrollment,Gender,International,Previous qualification,Application mode,Daytime/evening attendance,Displaced,Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Marital status,Application order,Course,1st_sem_success_rate,2nd_sem_success_rate,academic_potential,age_group,Target
5,12.666666666666666,4,13.0,131.0,138.0,0,1,0,18,0,0,1,1,1,1,5,9,5,7,1,1,9085,1.0,0.8,134.5,17-20,Enrolled
5,12.0,5,12.333333333333334,122.1,135.0,0,1,0,20,0,0,1,1,1,1,5,6,5,6,1,1,9147,1.0,1.0,128.55,17-20,Graduate
6,12.933333333333332,6,13.716666666666669,118.8,127.0,0,1,0,19,1,0,1,17,1,1,7,9,7,7,1,2,9500,0.8571428571428571,0.8571428571428571,122.9,17-20,Enrolled
5,11.857142857142858,5,10.571428571428571,150.0,150.0,0,1,0,21,1,0,39,44,1,0,6,15,6,16,1,1,9003,0.8333333333333334,0.8333333333333334,150.0,21-25,Enrolled
6,12.833333333333334,4,13.4,130.0,125.0,0,1,0,20,1,0,1,51,1,1,6,7,6,9,1,1,9070,1.0,0.6666666666666666,127.5,17-20,Graduate
3,11.333333333333334,2,13.5,138.8,143.0,0,0,0,18,1,0,1,1,1,0,5,9,5,8,1,1,9147,0.6,0.4,140.9,17-20,Enrolled
6,12.666666666666666,6,14.375,134.5,138.0,0,1,0,19,0,0,1,18,0,1,6,6,6,8,1,1,8378,1.0,1.0,136.25,17-20,Graduate
5,12.4,5,13.428571428571429,131.4,130.0,0,1,0,34,1,0,1,1,0,0,5,6,5,9,1,1,9991,1.0,1.0,130.7,30+,Graduate
0,7.399999999999999,1,10.0,102.5,130.0,0,0,1,34,1,0,1,39,1,0,7,7,7,7,1,1,8378,0.0,0.1428571428571428,116.25,30+,Dropout
0,7.399999999999999,0,6.874999999999999,128.8,133.1,0,1,0,34,1,0,10,39,1,1,5,0,5,0,1,1,9119,0.0,0.0,130.95,30+,Dropout
1,10.0,2,12.0,122.9,140.0,0,1,0,34,0,0,1,43,1,0,5,10,5,8,1,1,9147,0.2,0.4,131.45,30+,Dropout
5,11.0,5,11.6,113.9,120.0,0,1,0,34,0,0,1,39,0,1,5,8,5,5,4,1,9991,1.0,1.0,116.95,30+,Graduate
3,11.666666666666666,3,12.0,120.0,120.0,0,0,1,20,0,1,39,44,1,0,6,13,6,11,1,1,9130,0.5,0.5,120.0,17-20,Dropout
4,12.75,0,6.874999999999999,121.1,126.0,0,1,1,18,0,0,1,1,1,0,6,6,5,5,1,3,9773,0.6666666666666666,0.0,123.55,17-20,Dropout
5,14.8,5,15.8,120.4,133.0,0,1,0,22,0,0,1,1,1,1,5,5,5,5,1,2,9147,1.0,1.0,126.7,21-25,Graduate
5,13.928,7,14.342857142857142,100.6,103.0,0,1,0,22,0,0,1,1,1,1,7,9,8,9,1,3,9500,0.7142857142857143,0.875,101.8,21-25,Graduate
4,13.0,5,13.8,121.4,120.0,0,0,0,20,0,0,1,17,1,0,6,7,6,7,1,1,9773,0.6666666666666666,0.8333333333333334,120.7,17-20,Dropout
0,7.399999999999999,0,6.874999999999999,109.7,133.1,0,1,0,29,0,0,1,39,0,0,5,0,5,0,1,1,9991,0.0,0.0,121.4,26-30,Dropout
2,11.5,3,14.333333333333334,134.1,154.0,0,1,0,24,0,0,1,17,0,0,5,9,5,11,1,1,9991,0.4,0.6,144.05,21-25,Enrolled
6,11.666666666666666,5,13.2,127.6,130.0,0,1,0,18,0,0,1,17,1,1,6,6,6,8,1,2,9238,1.0,0.8333333333333334,128.8,17-20,Graduate
6,13.516666666666666,7,13.771428571428572,132.4,132.0,1,1,0,22,0,0,1,17,1,1,7,8,8,9,1,3,9500,0.8571428571428571,0.875,132.2,21-25,Graduate
6,11.5,6,13.285714285714286,133.4,130.0,1,1,0,21,0,0,39,44,0,0,6,6,6,7,1,1,8378,1.0,1.0,131.7,21-25,Graduate
5,12.333333333333334,6,12.833333333333334,126.1,139.0,1,1,0,19,0,0,1,1,1,0,6,7,6,7,1,1,9238,0.8333333333333334,1.0,132.55,17-20,Graduate
6,13.666666666666666,6,14.166666666666666,113.5,130.0,1,1,0,24,0,0,1,39,1,0,6,6,6,6,1,1,9254,1.0,1.0,121.75,21-25,Graduate
6,11.833333333333334,6,11.833333333333334,121.3,139.0,1,1,0,19,0,0,1,1,1,1,8,10,8,10,1,1,9500,0.75,0.75,130.15,17-20,Enrolled
4,14.0,3,11.0,121.8,127.0,1,1,0,20,0,0,1,1,1,1,6,11,6,12,1,1,9773,0.6666666666666666,0.5,124.4,17-20,Enrolled
5,14.714285714285714,5,15.8,159.3,162.5,0,1,0,19,0,0,1,1,1,0,5,7,5,5,1,3,9130,1.0,1.0,160.9,17-20,Graduate
5,10.6,5,11.0,120.0,130.0,0,1,0,27,0,0,1,39,0,0,5,12,5,10,1,1,9991,1.0,1.0,125.0,26-30,Dropout
7,13.044444444444444,8,13.595,129.1,130.0,0,1,0,18,0,0,1,1,1,1,7,9,8,10,1,1,9500,1.0,1.0,129.55,17-20,Graduate
0,7.399999999999999,0,6.874999999999999,130.0,130.0,0,1,0,34,0,0,3,7,1,0,6,10,6,6,2,1,9254,0.0,0.0,130.0,30+,Dropout
5,13.0,10,12.9,155.3,129.0,0,1,0,27,0,0,40,39,1,1,6,9,10,13,1,1,9130,0.8333333333333334,1.0,142.15,26-30,Dropout
8,14.935,8,14.935,139.8,141.0,0,1,0,18,0,0,1,17,1,1,8,8,8,8,1,1,9500,1.0,1.0,140.4,17-20,Graduate
0,7.399999999999999,0,6.874999999999999,115.2,125.0,0,1,0,18,0,0,1,1,1,1,2,0,2,0,1,3,8378,0.0,0.0,120.1,17-20,Enrolled
6,13.133333333333333,7,12.221428571428572,114.9,125.0,0,1,0,18,0,0,1,1,1,0,7,8,8,12,1,2,9500,0.8571428571428571,0.875,119.95,17-20,Graduate
6,12.0,6,12.0,131.9,130.0,1,1,0,21,0,0,39,44,1,0,6,7,6,7,1,1,9238,1.0,1.0,130.95,21-25,Graduate
0,7.399999999999999,0,6.874999999999999,126.0,133.0,1,1,0,19,1,0,1,17,1,1,2,0,2,0,1,3,8378,0.0,0.0,129.5,17-20,Enrolled
5,11.4,1,10.0,130.2,127.0,0,1,0,19,1,0,1,17,1,1,6,6,6,8,1,1,9070,0.8333333333333334,0.1666666666666666,128.6,17-20,Enrolled
0,7.399999999999999,0,6.874999999999999,120.9,116.0,0,1,0,24,1,0,1,43,1,0,6,6,6,6,1,1,9070,0.0,0.0,118.45,21-25,Enrolled
5,11.9,5,11.0,126.0,133.1,0,1,0,29,1,0,19,42,1,1,7,10,8,10,4,1,9500,0.7142857142857143,0.625,129.55,26-30,Dropout
0,7.399999999999999,0,6.874999999999999,128.2,139.0,1,1,0,19,1,0,1,1,1,1,2,0,2,0,1,3,8378,0.0,0.0,133.6,17-20,Graduate
6,12.571428571428571,6,12.428571428571429,130.0,130.0,0,1,0,23,1,0,39,44,1,1,6,8,6,7,1,1,9003,1.0,1.0,130.0,21-25,Graduate
5,11.2,4,10.75,120.1,125.0,0,1,1,19,1,0,1,1,1,0,5,8,5,10,1,3,9147,1.0,0.8,122.55,17-20,Dropout
6,12.0,5,10.8,100.0,160.0,0,1,0,26,1,0,1,39,1,0,6,7,6,8,1,1,9254,1.0,0.8333333333333334,130.0,26-30,Enrolled
0,7.399999999999999,0,6.874999999999999,134.0,148.0,0,1,0,18,1,0,1,17,1,0,5,9,5,5,1,1,9147,0.0,0.0,141.0,17-20,Enrolled
7,11.975,8,13.75,130.8,150.0,0,1,0,24,1,0,1,17,1,0,7,8,8,8,1,1,9500,1.0,1.0,140.4,21-25,Graduate
0,7.399999999999999,0,6.874999999999999,135.8,141.0,0,1,0,19,1,0,1,1,1,1,2,0,2,0,1,1,8378,0.0,0.0,138.4,17-20,Dropout
3,11.666666666666666,1,12.0,111.7,118.0,0,1,0,18,1,0,1,17,1,1,6,12,6,12,1,3,9254,0.5,0.1666666666666666,114.85,17-20,Dropout
6,12.333333333333334,3,12.333333333333334,132.9,142.0,0,1,0,18,1,0,1,1,1,1,6,8,6,11,1,2,9773,1.0,0.5,137.45,17-20,Graduate
3,10.333333333333334,3,10.857142857142858,115.5,120.0,0,1,1,18,1,0,1,17,1,1,5,8,5,11,1,3,9147,0.6,0.6,117.75,17-20,Dropout
4,10.5,1,11.0,106.0,106.0,1,1,0,21,1,0,1,18,1,1,6,8,6,11,1,3,9254,0.6666666666666666,0.1666666666666666,106.0,21-25,Dropout
6,13.666666666666666,6,13.333333333333334,120.3,121.0,1,1,1,19,1,0,1,17,1,1,6,6,6,6,1,3,9773,1.0,1.0,120.65,17-20,Graduate
7,14.842857142857142,8,15.055555555555555,130.8,150.0,1,1,0,22,1,0,1,17,1,0,7,7,8,9,1,3,9500,1.0,1.0,140.4,21-25,Graduate
6,12.0,6,11.666666666666666,117.0,120.0,0,1,0,33,1,0,1,39,0,0,6,8,6,6,2,1,8378,1.0,1.0,118.5,30+,Graduate
5,12.2,5,12.2,110.2,114.0,0,1,0,20,1,0,1,1,1,1,6,8,6,7,1,3,9853,0.8333333333333334,0.8333333333333334,112.1,17-20,Dropout
0,7.399999999999999,0,6.874999999999999,155.7,140.0,0,1,0,34,1,0,2,39,0,1,2,1,5,0,1,1,9991,0.0,0.0,147.85,30+,Dropout
6,12.166666666666666,10,13.3,160.15000000000003,160.0,0,1,1,24,1,0,4,39,1,0,10,16,10,14,1,1,9003,0.6,1.0,160.07500000000002,21-25,Dropout
5,12.0,3,11.333333333333334,125.5,120.0,0,1,0,18,1,0,1,17,1,0,5,6,5,8,1,1,9254,1.0,0.6,122.75,17-20,Enrolled
6,11.0,5,11.0,110.0,130.0,0,1,0,33,0,0,1,39,0,1,6,7,6,11,2,1,8378,1.0,0.8333333333333334,120.0,30+,Graduate
7,13.08,7,13.08,160.15000000000003,160.0,1,1,0,22,0,0,1,42,1,1,8,8,8,8,1,1,9500,0.875,0.875,160.07500000000002,21-25,Graduate
4,10.5,5,11.6,100.0,120.0,1,1,0,25,0,0,1,39,1,0,5,7,5,7,1,1,9670,0.8,1.0,110.0,21-25,Graduate
6,10.666666666666666,5,11.2,117.6,124.0,0,1,0,20,1,0,1,17,1,1,6,9,6,6,1,1,9070,1.0,0.8333333333333334,120.8,17-20,Graduate
4,14.0,5,13.8,128.7,143.0,0,1,0,23,1,0,1,1,1,1,5,6,5,5,1,3,9147,0.8,1.0,135.85,21-25,Enrolled
2,10.0,0,6.874999999999999,112.2,115.0,0,1,1,18,1,0,1,43,1,1,5,9,5,9,1,2,9119,0.4,0.0,113.6,17-20,Enrolled
0,7.399999999999999,0,6.874999999999999,100.8,133.1,0,1,0,24,1,0,1,39,1,0,7,16,7,7,1,1,9500,0.0,0.0,116.95,21-25,Dropout
6,14.0,6,13.5,105.0,133.1,0,0,0,21,0,1,1,17,1,1,6,6,6,6,1,2,9773,1.0,1.0,119.05,21-25,Graduate
2,12.0,0,6.874999999999999,100.0,133.1,0,1,0,26,0,1,1,15,1,0,6,7,6,6,1,1,9130,0.3333333333333333,0.0,116.55,26-30,Dropout
3,12.666666666666666,0,6.874999999999999,115.5,133.1,0,1,0,34,0,0,10,39,1,0,6,12,6,14,2,1,9853,0.5,0.0,124.3,30+,Dropout
8,11.875,6,12.333333333333334,114.0,133.1,0,1,0,34,0,0,1,39,0,0,8,11,6,7,2,1,8378,1.0,1.0,123.55,30+,Graduate
5,14.0,3,13.25,137.0,130.0,0,1,0,19,1,1,1,15,1,1,5,9,5,11,1,1,9119,1.0,0.6,133.5,17-20,Enrolled
6,13.666666666666666,6,13.333333333333334,124.9,135.0,0,1,0,18,0,0,1,1,1,1,6,6,6,6,1,3,9773,1.0,1.0,129.95,17-20,Graduate
7,13.75,8,14.47777777777778,120.3,132.0,1,1,0,18,0,0,1,1,1,1,7,7,8,9,1,3,9500,1.0,1.0,126.15,17-20,Graduate
5,14.2,5,13.8,134.3,135.0,0,1,0,19,0,0,1,1,1,1,5,7,5,7,1,1,9085,1.0,1.0,134.65,17-20,Enrolled
4,11.96,0,6.874999999999999,111.5,115.0,0,0,1,19,0,0,1,1,1,1,7,10,7,7,1,3,9500,0.5714285714285714,0.0,113.25,17-20,Dropout
8,12.875,5,13.4,128.8,130.0,0,1,0,21,0,0,42,53,1,0,10,12,9,14,1,1,9085,0.8,0.5555555555555556,129.4,21-25,Dropout
0,7.399999999999999,0,6.874999999999999,110.0,133.1,0,1,0,20,0,0,1,1,1,1,2,0,2,0,1,3,8378,0.0,0.0,121.55,17-20,Graduate
0,7.399999999999999,0,6.874999999999999,113.5,130.0,0,1,0,34,0,0,1,39,0,1,6,0,6,0,2,1,8378,0.0,0.0,121.75,30+,Dropout
10,14.63157894736842,12,14.23076923076923,160.0,133.1,0,1,0,34,0,0,12,39,1,0,10,16,10,14,4,1,9003,1.0,1.2,146.55,30+,Graduate
0,7.399999999999999,0,6.874999999999999,117.4,123.0,0,1,0,19,0,0,1,18,1,1,6,0,6,0,1,1,9853,0.0,0.0,120.2,17-20,Dropout
10,13.0,11,12.272727272727272,122.2,130.0,0,1,1,20,0,0,1,51,1,0,10,12,10,11,1,1,9070,1.0,1.1,126.1,17-20,Graduate
0,7.399999999999999,0,6.874999999999999,118.2,122.0,0,1,0,19,0,0,1,1,1,1,6,0,6,0,1,2,9238,0.0,0.0,120.1,17-20,Dropout
4,14.2,4,13.25,106.7,113.0,0,1,0,20,0,0,1,1,1,1,6,15,6,16,1,1,9085,0.6666666666666666,0.6666666666666666,109.85,17-20,Dropout
6,13.266666666666666,5,12.3,108.2,111.0,0,1,0,20,0,0,1,1,1,1,7,9,7,10,1,3,9500,0.8571428571428571,0.7142857142857143,109.6,17-20,Dropout
6,11.666666666666666,3,13.0,107.0,133.1,0,1,0,20,0,0,1,17,1,1,7,12,7,10,1,2,9853,0.8571428571428571,0.4285714285714285,120.05,17-20,Enrolled
6,13.857142857142858,6,15.0,136.1,142.0,0,1,0,18,0,0,1,1,1,1,6,8,6,6,1,1,9238,1.0,1.0,139.05,17-20,Graduate
3,13.0,3,11.0,115.3,123.0,1,1,0,18,0,0,1,17,1,1,5,9,5,11,1,2,9147,0.6,0.6,119.15,17-20,Enrolled
5,13.4,5,12.8,139.8,131.0,0,1,0,19,0,0,1,1,1,1,5,6,5,5,1,1,9085,1.0,1.0,135.4,17-20,Graduate
6,12.666666666666666,6,12.571428571428571,157.0,158.0,0,1,0,18,0,0,1,1,1,1,6,6,6,7,1,3,9773,1.0,1.0,157.5,17-20,Graduate
6,12.516666666666666,6,12.516666666666666,131.0,122.0,0,1,0,18,0,0,1,17,1,1,7,7,7,7,1,2,9500,0.8571428571428571,0.8571428571428571,126.5,17-20,Dropout
6,11.616666666666667,7,13.0,100.0,130.0,0,1,0,20,0,0,1,43,1,0,7,11,7,7,1,1,9500,0.8571428571428571,1.0,115.0,17-20,Enrolled
2,10.0,4,10.75,140.4,154.0,1,1,0,20,0,0,1,17,1,1,6,13,6,12,1,1,9238,0.3333333333333333,0.6666666666666666,147.2,17-20,Enrolled
3,10.333333333333334,3,10.666666666666666,113.4,120.0,0,1,0,20,0,0,1,17,1,0,5,11,5,10,1,1,9147,0.6,0.6,116.7,17-20,Enrolled
5,13.142857142857142,5,11.4,137.0,140.0,0,1,0,18,0,0,1,1,1,0,5,12,5,6,1,2,9085,1.0,1.0,138.5,17-20,Graduate
5,12.6,5,14.0,121.8,127.0,0,1,0,18,0,0,1,1,1,0,5,5,5,5,1,1,9147,1.0,1.0,124.4,17-20,Graduate
3,11.0,2,11.0,131.0,133.1,0,1,0,21,0,0,1,17,1,1,6,12,6,12,1,1,9254,0.5,0.3333333333333333,132.05,21-25,Dropout
5,10.8,4,11.25,118.6,120.0,0,1,0,19,0,0,1,1,1,1,5,8,5,9,1,2,9147,1.0,0.8,119.3,17-20,Graduate
0,7.399999999999999,0,6.874999999999999,122.3,137.0,0,1,0,19,0,0,1,1,1,0,2,0,2,0,1,1,8378,0.0,0.0,129.65,17-20,Dropout
5,12.8,5,14.2,127.9,131.0,1,1,0,19,0,0,1,1,1,0,5,5,5,5,1,1,9670,1.0,1.0,129.45,17-20,Graduate
6,14.166666666666666,6,12.2,121.3,130.0,0,1,0,19,0,0,1,1,1,1,6,15,6,13,1,1,9085,1.0,1.0,125.65,17-20,Graduate
5,12.1,0,6.874999999999999,117.1,122.0,0,1,0,19,0,0,1,17,1,1,7,12,7,0,1,3,9556,0.7142857142857143,0.0,119.55,17-20,Dropout
6,14.166666666666666,5,13.77777777777778,160.0,160.0,0,1,0,20,0,0,39,44,1,1,6,7,6,16,1,1,9085,1.0,0.8333333333333334,160.0,17-20,Graduate
5,12.8,5,13.4,145.3,146.0,1,1,0,18,0,0,1,1,1,1,6,8,6,7,1,1,9853,0.8333333333333334,0.8333333333333334,145.65,17-20,Enrolled
6,13.0,6,13.666666666666666,122.6,131.0,0,1,0,18,0,0,1,17,1,1,6,7,6,6,1,3,9238,1.0,1.0,126.8,17-20,Graduate
7,13.467142857142855,8,15.011111111111113,128.0,132.0,0,1,0,19,0,0,1,17,1,1,7,7,8,9,1,3,9500,1.0,1.0,130.0,17-20,Graduate
7,13.2375,7,13.742857142857144,124.9,138.0,1,1,0,18,0,0,1,1,1,1,7,9,8,9,1,3,9500,1.0,0.875,131.45,17-20,Dropout
6,12.333333333333334,6,13.0,123.7,130.0,0,1,0,18,0,0,1,17,1,1,6,6,6,6,1,2,9070,1.0,1.0,126.85,17-20,Graduate
5,12.4,5,14.6,120.1,126.0,0,1,0,19,0,0,1,1,1,1,5,7,5,5,1,3,9147,1.0,1.0,123.05,17-20,Graduate
5,14.0,0,6.874999999999999,131.7,148.0,0,1,0,19,0,0,1,17,1,1,7,8,7,7,1,3,9500,0.7142857142857143,0.0,139.85,17-20,Dropout
9,11.666666666666666,7,11.714285714285714,133.2,130.0,0,1,0,20,0,0,1,43,1,0,9,15,7,8,1,1,9238,1.0,1.0,131.6,17-20,Graduate
5,12.0,4,12.5,109.3,117.0,1,0,1,19,0,0,1,1,1,0,6,7,6,9,1,1,9670,0.8333333333333334,0.6666666666666666,113.15,17-20,Dropout
4,12.2,4,11.5,113.0,120.0,0,1,0,20,0,0,1,17,1,1,5,7,5,5,1,1,9670,0.8,0.8,116.5,17-20,Graduate
6,14.833333333333334,6,14.833333333333334,157.9,153.0,1,1,1,18,0,0,1,1,1,0,6,6,6,6,1,1,9773,1.0,1.0,155.45,17-20,Graduate
5,13.188,7,12.892857142857142,112.1,117.0,1,1,0,20,0,0,1,1,1,0,7,9,8,9,1,2,9500,0.7142857142857143,0.875,114.55,17-20,Enrolled
7,17.0,8,17.208333333333336,160.15000000000003,162.5,0,1,0,18,0,0,1,18,1,0,7,8,8,8,1,1,9500,1.0,1.0,161.32500000000002,17-20,Graduate
6,12.666666666666666,6,12.666666666666666,128.8,129.0,0,1,0,19,0,0,1,1,1,1,7,7,7,7,1,3,9500,0.8571428571428571,0.8571428571428571,128.9,17-20,Graduate
6,12.666666666666666,5,12.0,110.1,116.0,1,1,0,19,0,0,1,1,1,1,6,8,6,10,1,3,9773,1.0,0.8333333333333334,113.05,17-20,Graduate
0,7.399999999999999,0,6.874999999999999,99.7,102.5,0,0,1,22,0,0,1,51,1,1,5,8,5,7,1,1,9147,0.0,0.0,101.1,21-25,Enrolled
6,11.333333333333334,6,11.5,121.0,135.0,1,1,0,19,0,0,1,1,1,1,6,7,6,6,1,3,9238,1.0,1.0,128.0,17-20,Graduate
7,13.605,8,12.33125,131.7,141.0,1,1,0,19,0,0,1,1,1,1,7,10,8,11,1,3,9500,1.0,1.0,136.35,17-20,Graduate
5,12.0,5,10.8,119.1,132.0,1,1,0,19,0,0,1,17,1,1,6,10,6,9,1,3,9853,0.8333333333333334,0.8333333333333334,125.55,17-20,Graduate
0,7.399999999999999,0,6.874999999999999,124.7,132.0,0,1,0,19,0,0,1,1,1,1,5,10,5,10,1,3,9254,0.0,0.0,128.35,17-20,Dropout
5,11.2,3,11.666666666666666,117.2,113.0,0,1,0,20,0,0,1,17,1,1,6,8,6,12,1,1,9254,0.8333333333333334,0.5,115.1,17-20,Dropout
5,13.375,5,14.166666666666666,128.8,134.0,0,1,0,18,0,0,1,1,1,0,5,10,5,9,1,1,9147,1.0,1.0,131.4,17-20,Graduate
6,13.863333333333337,7,14.178571428571429,131.5,136.0,1,1,0,20,0,0,1,1,1,0,7,8,8,9,1,1,9500,0.8571428571428571,0.875,133.75,17-20,Graduate
0,7.399999999999999,0,6.874999999999999,121.7,136.0,0,1,0,18,0,0,1,1,1,1,2,0,2,0,1,1,8378,0.0,0.0,128.85,17-20,Enrolled
5,12.4,5,13.4,123.4,129.0,0,1,0,19,0,0,1,1,1,0,5,6,5,6,1,1,9085,1.0,1.0,126.2,17-20,Graduate
3,12.333333333333334,5,10.833333333333334,124.7,138.0,0,1,0,18,0,0,1,17,1,1,6,11,6,10,1,1,9853,0.5,0.8333333333333334,131.35,17-20,Enrolled
6,13.333333333333334,5,11.8,132.8,137.0,0,1,0,18,0,0,1,1,1,1,6,7,6,8,1,1,9853,1.0,0.8333333333333334,134.9,17-20,Graduate
3,12.666666666666666,3,10.0,108.7,115.0,0,1,0,21,0,0,1,43,1,1,6,10,6,12,1,1,9853,0.5,0.5,111.85,21-25,Dropout
6,12.0,4,11.5,138.1,129.0,0,1,0,19,0,0,1,1,1,0,6,8,6,10,1,1,9853,1.0,0.6666666666666666,133.55,17-20,Dropout
5,10.6,5,11.8,126.5,131.0,1,1,0,18,0,0,1,1,1,0,5,5,5,5,1,1,9147,1.0,1.0,128.75,17-20,Graduate
6,12.25,6,11.857142857142858,127.4,133.0,1,1,0,18,0,0,1,17,1,1,6,8,6,7,1,2,9238,1.0,1.0,130.2,17-20,Graduate
4,11.0,6,11.833333333333334,123.6,125.0,0,1,0,20,0,0,1,1,1,1,6,10,6,9,1,3,9238,0.6666666666666666,1.0,124.3,17-20,Graduate
5,11.0,5,12.6,122.0,120.0,1,1,0,24,0,0,1,39,0,0,6,11,6,9,1,1,8378,0.8333333333333334,0.8333333333333334,121.0,21-25,Graduate
6,13.166666666666666,6,13.0,118.2,128.0,0,1,0,19,0,0,1,1,1,0,6,6,6,9,1,1,9670,1.0,1.0,123.1,17-20,Dropout
7,12.855555555555554,7,12.761111111111113,123.9,127.0,1,1,0,18,0,0,1,1,1,1,7,9,8,12,1,1,9500,1.0,0.875,125.45,17-20,Graduate
7,14.91875,8,15.355,125.8,134.0,0,1,0,18,0,0,1,1,1,1,7,8,8,8,1,2,9500,1.0,1.0,129.9,17-20,Graduate
